,characteristics,rating,REF
0,"rich cocoa, fatty, bready",3.25,2454
1,"cocoa, blackberry, full body",3.75,2454
2,"cocoa, vegetal, savory",3.5,2458
3,"chewy, off, rubbery",3.0,2542
4,"milk brownie, macadamia,chewy",3.5,2542
5,"fatty, earthy, moss, nutty,chalky",3.0,2546
6,"mildly bitter, basic cocoa, fatty",3.25,2546
7,"vegetal, nutty",3.5,797
8,"fruity, melon, roasty",3.75,797
9,"brief fruit note, earthy, nutty",2.75,1011
10,"sticky, red fruit, sour",3.0,1011
11,mild tobacco,3.25,1011
12,"sandy, nutty, cocoa, fig",3.75,1011
13,"burnt rubber,alkalyzed notes",2.75,1015
14,"sticky, smokey, grass",3.0,1015
15,"mild fruit, strong smoke",3.25,1015
16,"oily, nut, caramel, raspberry",4.0,1015
17,"green, nutty, cocoa",3.25,1019
18,"cocoa,sour,intense tangerine",3.5,1019
19,"sweet, cocoa, tangerine",4.0,1019
20,"harsh, leather, earthy",2.75,1315
21,"sliglty dry, papaya",3.5,1315
22,"nutty, mild choco, roasty",3.5,1315
23,"astringent, nutty, chocolatey",3.75,1319
24,"delicate, hazelnut, brownie",4.0,1319
25,"burnt wood, earthy, choco",2.75,1676
26,"roasty, acidic, nutty",3.0,1676
27,"mild profile, chocolaty, spice",3.5,1680
28,"grainy texture, cocoa, sweet",3.5,1704
29,"sweet, chocolatey, vegetal",3.75,1876
30,"alluring aroma, powdery,nutty",3.5,2206
31,"sweet, dairy, spice, cocoa",3.75,2206
32,"light color, fruit, yogurt",4.0,2648
33,"smoke dominates, hint of fruit",3.75,2712
34,"green banana, roasty, cocoa",3.5,2712
35,"woody, honey, leathery",2.75,2716
36,yellow fruit,3.75,1462
37,"intense, nutty, cherry, cocoa",3.75,1470
38,"herbal, molasses, hammy",3.25,2462
39,"hot cocoa, rich, molasses",3.5,2470
40,"sweet, sublte strawberry",2.75,705
41,spicy and candy-like,3.25,705
42,"orange, floral, lemon",3.5,705
43,cocoa and powerful tang,3.5,705
44,"unrefined, sweet, metallic",2.5,2438
45,"basic, sweet, cocoa, woody",2.75,2438
46,"sandy, woody, spicy, sweet",3.0,2438
47,"sweet, cocoa, rubbery",2.75,2442
