,origin,bar_name,cocoa_%,ingredients,review,rating
0,Tanzania,"Kokoa Kamili, batch 1",76.0,"3- B,S,C","rich cocoa, fatty, bready",3.25
1,Madagascar,"Bejofo Estate, batch 1",76.0,"3- B,S,C","cocoa, blackberry, full body",3.75
2,Dominican Republic,"Zorzal, batch 1",76.0,"3- B,S,C","cocoa, vegetal, savory",3.5
3,Fiji,"Matasawalevu, batch 1",68.0,"3- B,S,C","chewy, off, rubbery",3.0
4,India,"Anamalai, batch 1",68.0,"3- B,S,C","milk brownie, macadamia,chewy",3.5
5,Venezuela,"Sur del Lago, batch 1",72.0,"3- B,S,C","fatty, earthy, moss, nutty,chalky",3.0
6,Uganda,"Semuliki Forest, batch 1",80.0,"3- B,S,C","mildly bitter, basic cocoa, fatty",3.25
7,Bolivia,Bolivia,70.0,"4- B,S,C,L","vegetal, nutty",3.5
8,Peru,Peru,63.0,"4- B,S,C,L","fruity, melon, roasty",3.75
9,Panama,Panama,70.0,"4- B,S,C,L","brief fruit note, earthy, nutty",2.75
10,Madagascar,"Madagascar, Criollo",70.0,"4- B,S,C,L","sticky, red fruit, sour",3.0
11,Brazil,Brazil,70.0,"4- B,S,C,L",mild tobacco,3.25
12,Ecuador,Equateur,70.0,"4- B,S,C,L","sandy, nutty, cocoa, fig",3.75
13,Colombia,Colombie,70.0,"4- B,S,C,L","burnt rubber,alkalyzed notes",2.75
14,Burma,Birmanie,70.0,"4- B,S,C,L","sticky, smokey, grass",3.0
15,Papua New Guinea,Papua New Guinea,70.0,"4- B,S,C,L","mild fruit, strong smoke",3.25
16,Venezuela,Chuao,70.0,"4- B,S,C,L","oily, nut, caramel, raspberry",4.0
17,Peru,Piura,70.0,"4- B,S,C,L","green, nutty, cocoa",3.25
18,Peru,Chanchamayo Province,70.0,"4- B,S,C,L","cocoa,sour,intense tangerine",3.5
19,Peru,Chanchamayo Province,63.0,"3- B,S,C","sweet, cocoa, tangerine",4.0
20,Venezuela,"Carenero, Criollo",70.0,"4- B,S,C,L","harsh, leather, earthy",2.75
21,Cuba,Cuba,70.0,"4- B,S,C,L","sliglty dry, papaya",3.5
22,Venezuela,"Sur del Lago, Criollo",70.0,"4- B,S,C,L","nutty, mild choco, roasty",3.5
23,Venezuela,"Puerto Cabello, Criollo",70.0,"4- B,S,C,L","astringent, nutty, chocolatey",3.75
24,Peru,Pablino,70.0,"4- B,S,C,L","delicate, hazelnut, brownie",4.0
25,Togo,Kpime,70.0,"4- B,S,C,L","burnt wood, earthy, choco",2.75
26,Togo,Atsane,70.0,"4- B,S,C,L","roasty, acidic, nutty",3.0
27,Togo,Akata,70.0,"4- B,S,C,L","mild profile, chocolaty, spice",3.5
28,Peru,Quilla,70.0,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5
