,company,loc_country,rating
0,5150,U.S.A.,3.25
1,5150,U.S.A.,3.75
2,5150,U.S.A.,3.5
3,5150,U.S.A.,3.0
7,A. Morin,France,3.5
8,A. Morin,France,3.75
9,A. Morin,France,2.75
10,A. Morin,France,3.0
11,A. Morin,France,3.25
16,A. Morin,France,4.0
36,Acalli,U.S.A.,3.75
38,Acalli,U.S.A.,3.25
39,Acalli,U.S.A.,3.5
40,Adi aka Fijiana (Easy In Ltd),Fiji,2.75
41,Adi aka Fijiana (Easy In Ltd),Fiji,3.25
42,Adi aka Fijiana (Easy In Ltd),Fiji,3.5
44,Aelan,Vanuatu,2.5
45,Aelan,Vanuatu,2.75
46,Aelan,Vanuatu,3.0
48,Aequare (Gianduja),Ecuador,2.75
49,Aequare (Gianduja),Ecuador,3.0
50,Ah Cacao,Mexico,3.0
51,Akesson's (Pralus),U.K.,2.75
53,Akesson's (Pralus),U.K.,3.75
54,Alain Ducasse,France,2.5
56,Alain Ducasse,France,2.75
58,Alain Ducasse,France,3.0
59,Alain Ducasse,France,3.5
60,Alexandre,Netherlands,3.5
64,Altus aka Cao Artisan,U.S.A.,2.5
65,Altus aka Cao Artisan,U.S.A.,3.0
66,Altus aka Cao Artisan,U.S.A.,3.25
69,Altus aka Cao Artisan,U.S.A.,2.75
75,Amano,U.S.A.,3.5
76,Amano,U.S.A.,3.0
77,Amano,U.S.A.,3.75
78,Amano,U.S.A.,2.75
81,Amano,U.S.A.,4.0
84,Amatller (Simon Coll),Spain,3.0
85,Amatller (Simon Coll),Spain,2.75
88,Amazing Cacao,Russia,3.0
89,Amazing Cacao,Russia,3.5
90,Amazona,Peru,3.25
91,Amazona,Peru,3.5
92,Ambrosia,Canada,3.0
93,Ambrosia,Canada,3.25
97,Ambrosia,Canada,3.5
98,Amedei,Italy,3.75
99,Amedei,Italy,3.0
101,Amedei,Italy,3.5
110,Amedei,Italy,2.75
111,AMMA,Brazil,2.75
112,AMMA,Brazil,3.75
114,AMMA,Brazil,4.0
115,AMMA,Brazil,3.25
116,Anahata,U.S.A.,3.0
117,Animas,U.S.A.,3.5
118,Animas,U.S.A.,3.0
119,Animas,U.S.A.,3.25
120,Ara,France,3.0
121,Ara,France,2.5
122,Ara,France,2.75
124,Arete,U.S.A.,3.5
126,Arete,U.S.A.,3.75
129,Arete,U.S.A.,4.0
130,Arete,U.S.A.,2.75
131,Arete,U.S.A.,3.25
152,Arete,U.S.A.,3.0
156,Argencove,Nicaragua,3.25
157,Argencove,Nicaragua,3.5
159,Argencove,Nicaragua,3.0
160,Artisan du Chocolat,U.K.,3.75
161,Artisan du Chocolat,U.K.,2.5
162,Artisan du Chocolat,U.K.,2.75
163,Artisan du Chocolat,U.K.,1.75
164,Artisan du Chocolat,U.K.,3.0
166,Artisan du Chocolat,U.K.,3.25
171,Artisan du Chocolat,U.K.,3.5
172,Artisan du Chocolat,U.K.,4.0
176,Artisan du Chocolat (Casa Luker),U.K.,2.75
177,Aruntam,Italy,3.25
179,Aruntam,Italy,3.5
180,Askinosie,U.S.A.,2.5
181,Askinosie,U.S.A.,3.0
182,Askinosie,U.S.A.,3.75
186,Atypic,Australia,3.0
187,Auro,Philippines,2.75
188,Auro,Philippines,3.0
190,Auro,Philippines,3.5
191,Avanaa,Canada,2.5
192,Avanaa,Canada,3.0
193,Bahen & Co.,Australia,3.0
194,Bahen & Co.,Australia,2.5
196,Bahen & Co.,Australia,3.25
197,Bahen & Co.,Australia,3.5
198,Baiani,Brazil,3.0
199,Bakau,Peru,2.75
200,Bakau,Peru,3.5
201,Bankston,U.S.A.,2.5
202,Bankston,U.S.A.,2.75
203,Bankston,U.S.A.,3.25
204,Bar Au Chocolat,U.S.A.,3.25
205,Bar Au Chocolat,U.S.A.,3.5
206,Bar Au Chocolat,U.S.A.,3.75
207,Bar Au Chocolat,U.S.A.,4.0
211,Baravelli's,Wales,2.75
212,Bare Bones,U.K.,3.25
213,Batch,U.S.A.,3.5
214,Batch,U.S.A.,3.75
215,Batch,U.S.A.,3.25
216,Bean,U.K.,2.25
217,Beau Cacao,U.K.,3.0
218,Beau Cacao,U.K.,3.25
219,Beehive,U.S.A.,2.75
223,Belcolade,Belgium,2.75
226,Belcolade,Belgium,3.5
227,Bellflower,U.S.A.,3.5
228,Bellflower,U.S.A.,3.25
230,Belvie,Vietnam,3.25
231,Belvie,Vietnam,3.75
232,Belyzium,Germany,2.75
233,Belyzium,Germany,3.0
234,Belyzium,Germany,3.5
235,Benns,Singapore,3.0
238,Benoit Nihant,Belgium,4.0
239,Benoit Nihant,Belgium,3.75
240,Benoit Nihant,Belgium,3.5
245,Benoit Nihant,Belgium,3.0
246,Bernachon,France,2.75
247,Beschle (Felchlin),Switzerland,3.25
249,Beschle (Felchlin),Switzerland,3.5
251,Beschle (Felchlin),Switzerland,3.0
254,Beschle (Felchlin),Switzerland,4.0
255,Bisou,U.S.A.,2.5
258,Bisou,U.S.A.,3.25
259,Bitacora,Venezuela,3.5
260,Bitacora,Venezuela,3.0
262,Bittersweet Origins,U.S.A.,3.0
263,Bittersweet Origins,U.S.A.,3.5
264,Bittersweet Origins,U.S.A.,3.75
268,Bittersweet Origins,U.S.A.,3.25
272,Bittersweet Origins,U.S.A.,2.75
276,Bixby,U.S.A.,3.0
278,Bixby,U.S.A.,3.25
279,Bixby,U.S.A.,2.75
280,Black Mountain,U.S.A.,2.75
