,REF,bar_name,company,cocoa_%,ingredients,rating
0,2454,"Kokoa Kamili, batch 1",5150,76.0,"3- B,S,C",3.25
1,2454,"Bejofo Estate, batch 1",5150,76.0,"3- B,S,C",3.75
2,2458,"Zorzal, batch 1",5150,76.0,"3- B,S,C",3.5
3,2542,"Matasawalevu, batch 1",5150,68.0,"3- B,S,C",3.0
4,2542,"Anamalai, batch 1",5150,68.0,"3- B,S,C",3.5
5,2546,"Sur del Lago, batch 1",5150,72.0,"3- B,S,C",3.0
6,2546,"Semuliki Forest, batch 1",5150,80.0,"3- B,S,C",3.25
7,797,Bolivia,A. Morin,70.0,"4- B,S,C,L",3.5
8,797,Peru,A. Morin,63.0,"4- B,S,C,L",3.75
9,1011,Panama,A. Morin,70.0,"4- B,S,C,L",2.75
10,1011,"Madagascar, Criollo",A. Morin,70.0,"4- B,S,C,L",3.0
11,1011,Brazil,A. Morin,70.0,"4- B,S,C,L",3.25
12,1011,Equateur,A. Morin,70.0,"4- B,S,C,L",3.75
13,1015,Colombie,A. Morin,70.0,"4- B,S,C,L",2.75
14,1015,Birmanie,A. Morin,70.0,"4- B,S,C,L",3.0
15,1015,Papua New Guinea,A. Morin,70.0,"4- B,S,C,L",3.25
16,1015,Chuao,A. Morin,70.0,"4- B,S,C,L",4.0
17,1019,Piura,A. Morin,70.0,"4- B,S,C,L",3.25
18,1019,Chanchamayo Province,A. Morin,70.0,"4- B,S,C,L",3.5
19,1019,Chanchamayo Province,A. Morin,63.0,"3- B,S,C",4.0
20,1315,"Carenero, Criollo",A. Morin,70.0,"4- B,S,C,L",2.75
21,1315,Cuba,A. Morin,70.0,"4- B,S,C,L",3.5
22,1315,"Sur del Lago, Criollo",A. Morin,70.0,"4- B,S,C,L",3.5
23,1319,"Puerto Cabello, Criollo",A. Morin,70.0,"4- B,S,C,L",3.75
24,1319,Pablino,A. Morin,70.0,"4- B,S,C,L",4.0
25,1676,Kpime,A. Morin,70.0,"4- B,S,C,L",2.75
26,1676,Atsane,A. Morin,70.0,"4- B,S,C,L",3.0
27,1680,Akata,A. Morin,70.0,"4- B,S,C,L",3.5
28,1704,Quilla,A. Morin,70.0,"4- B,S,C,L",3.5
29,1876,Agua Grande,A. Morin,63.0,"4- B,S,C,L",3.75
30,2206,Porcelana,A. Morin,70.0,"4- B,S,C,L",3.5
31,2206,Absolu,A. Morin,63.0,"4- B,S,C,L",3.75
32,2648,La Joya,A. Morin,70.0,"4- B,S,C,L",4.0
33,2712,"Java, Arjuna",A. Morin,70.0,"3- B,S,C",3.75
34,2712,Cusco,A. Morin,70.0,"3- B,S,C",3.5
35,2716,Ekeko,A. Morin,70.0,"4- B,S,C,L",2.75
36,1462,"Chulucanas, El Platanal, batch 001",Acalli,70.0,"2- B,S",3.75
37,1470,"Tumbes, Norandino",Acalli,70.0,"2- B,S",3.75
38,2462,"Teapa, Tabasco, batch 2",Acalli,74.0,"2- B,S",3.25
39,2470,"Barataria, El Plantal and Norandino Tumbes blend",Acalli,70.0,"2- B,S",3.5
40,705,Vanua Levu,Adi aka Fijiana (Easy In Ltd),60.0,"3- B,S,C",2.75
41,705,"Vanua Levu, Toto-A",Adi aka Fijiana (Easy In Ltd),80.0,"3- B,S,C",3.25
42,705,Vanua Levu,Adi aka Fijiana (Easy In Ltd),88.0,"3- B,S,C",3.5
43,705,"Vanua Levu, Ami-Ami-CA",Adi aka Fijiana (Easy In Ltd),72.0,"3- B,S,C",3.5
44,2438,"Malekula Island, batch M10/19",Aelan,70.0,"2- B,S",2.5
45,2438,"Malo Island, batch Ma20/19",Aelan,70.0,"2- B,S",2.75
46,2438,"EPI Island, batch E 11/19",Aelan,70.0,"2- B,S",3.0
47,2442,"Santo Island, batch S15/19",Aelan,70.0,"2- B,S",2.75
48,370,"Los Rios, Quevedo, Arriba",Aequare (Gianduja),55.0,"4- B,S,C,V",2.75
49,370,"Los Rios, Quevedo, Arriba",Aequare (Gianduja),70.0,"4- B,S,C,V",3.0
50,316,Tabasco,Ah Cacao,70.0,"3- B,S,C",3.0
51,502,"Madagascar, Ambolikapiky P.",Akesson's (Pralus),75.0,"4- B,S,C,L",2.75
52,508,"Monte Alegre, D. Badero",Akesson's (Pralus),75.0,"4- B,S,C,L",2.75
53,636,"Bali (west), Sukrama Family, Melaya area",Akesson's (Pralus),75.0,"4- B,S,C,L",3.75
54,1061,Chuao,Alain Ducasse,75.0,"5- B,S,C,V,L",2.5
55,1173,"Piura, Perou",Alain Ducasse,75.0,"5- B,S,C,V,L",2.5
56,1215,Trinite,Alain Ducasse,65.0,"6- B,S,C,V,L,Sa",2.75
57,1215,Vietnam,Alain Ducasse,75.0,"5- B,S,C,V,Sa",2.75
58,1215,Madagascar,Alain Ducasse,75.0,"5- B,S,C,V,Sa",3.0
59,1992,"Porcelana, Mexique",Alain Ducasse,75.0,"6- B,S,C,V,L,Sa",3.5
60,1944,"Winak Coop, Napo",Alexandre,70.0,"3- B,S,C",3.5
61,1944,"La Dalia, Matagalpa",Alexandre,70.0,"3- B,S,C",3.5
62,1944,"Makwale Village, Kyela",Alexandre,70.0,"3- B,S,C",3.5
63,1944,Tien Giang,Alexandre,70.0,"3- B,S,C",3.5
64,1125,Sur del Lago,Altus aka Cao Artisan,60.0,"4- B,S,C,L",2.5
65,1125,"Conacado, batch 130",Altus aka Cao Artisan,60.0,"4- B,S,C,L",3.0
66,1129,"Bolivia, batch 101",Altus aka Cao Artisan,80.0,"4- B,S,C,L",3.25
67,1133,"Bolivia, batch 154",Altus aka Cao Artisan,60.0,"4- B,S,C,L",3.0
68,1133,"Peru, batch 148",Altus aka Cao Artisan,60.0,"4- B,S,C,L",3.25
69,1728,Momotombo,Altus aka Cao Artisan,60.0,"3- B,S,C",2.75
70,1728,Acopagro,Altus aka Cao Artisan,60.0,"3- B,S,C",3.0
71,1732,CIAAB Coop,Altus aka Cao Artisan,60.0,"3- B,S,C",2.5
72,1732,Villa Andina,Altus aka Cao Artisan,60.0,"3- B,S,C",2.5
73,1732,Gruppo Salinas,Altus aka Cao Artisan,60.0,"3- B,S,C",2.75
74,2044,Oko Caribe,Altus aka Cao Artisan,70.0,"3- B,S,C",3.0
75,129,Madagascar,Amano,70.0,"4- B,S,C,V",3.5
76,147,Cuyagua,Amano,70.0,"4- B,S,C,V",3.0
77,175,Ocumare,Amano,70.0,"4- B,S,C,V",3.75
78,304,"Bali, Jembrana",Amano,70.0,"4- B,S,C,V",2.75
79,363,Montanya,Amano,70.0,"4- B,S,C,V",3.0
80,470,Dos Rios,Amano,70.0,"4- B,S,C,V",3.75
81,470,Guayas,Amano,70.0,"4- B,S,C,V",4.0
82,544,Chuao,Amano,70.0,"4- B,S,C,V",3.0
83,725,Morobe,Amano,70.0,"4- B,S,C,V",4.0
84,322,Ghana,Amatller (Simon Coll),70.0,"2- B,S",3.0
85,327,Ecuador,Amatller (Simon Coll),70.0,"2- B,S",2.75
86,464,Ecuador,Amatller (Simon Coll),85.0,"2- B,S",2.75
87,464,Ghana,Amatller (Simon Coll),85.0,"2- B,S",3.0
88,1964,Maranon,Amazing Cacao,70.0,"3- B,S,C",3.0
89,1964,Platan Bajo,Amazing Cacao,70.0,"3- B,S,C",3.5
90,1145,"LamasdelChanka, San Martin, Oro Verde coop",Amazona,72.0,"3- B,S,C",3.25
91,1145,"Bellavista Gran Pajeten, San Martin",Amazona,73.0,"3- B,S,C",3.5
92,1494,Belize,Ambrosia,64.0,"4- B,S,C,L",3.0
93,1494,Madagascar,Ambrosia,66.0,"2- B,S",3.25
94,1498,Dominican Republic,Ambrosia,75.0,"2- B,S",3.25
95,1498,Papua New Guinea,Ambrosia,63.0,"2- B,S",3.25
96,1498,Venezuela,Ambrosia,70.0,"2- B,S",3.25
97,1498,Peru,Ambrosia,68.0,"2- B,S",3.5
98,75,Toscano Black,Amedei,66.0,"4- B,S,C,V",3.75
99,123,Ecuador,Amedei,70.0,"4- B,S,C,V",3.0
100,123,Jamaica,Amedei,70.0,"4- B,S,C,V",3.0
101,123,Grenada,Amedei,70.0,"4- B,S,C,V",3.5
102,123,Venezuela,Amedei,70.0,"4- B,S,C,V",3.75
103,129,Trinidad,Amedei,70.0,"4- B,S,C,V",3.5
104,170,Toscano Black,Amedei,63.0,"4- B,S,C,V",3.5
105,979,"Piura, Blanco de Criollo",Amedei,70.0,"4- B,S,C,V",3.75
106,2088,Madagascar,Amedei,70.0,"4- B,S,C,V",3.0
107,2088,Chuao,Amedei,70.0,"4- B,S,C,V",3.0
108,2092,Porcelana,Amedei,70.0,"4- B,S,C,V",3.0
109,2092,Nine,Amedei,75.0,"4- B,S,C,V",3.5
110,2434,Toscano Black,Amedei,70.0,"3- B,S,C",2.75
111,572,"Monte Alegre, 3 diff. plantations",AMMA,85.0,"4- B,S,C,L",2.75
112,572,"Monte Alegre, 3 diff. plantations",AMMA,50.0,"4- B,S,C,L",3.75
113,572,"Monte Alegre, 3 diff. plantations",AMMA,75.0,"4- B,S,C,L",3.75
114,572,"Monte Alegre, 3 diff. plantations",AMMA,60.0,"4- B,S,C,L",4.0
115,1065,Catongo,AMMA,75.0,"4- B,S,C,L",3.25
116,1259,Elvesia,Anahata,75.0,"2- B,S",3.0
117,1852,Alto Beni,Animas,75.0,"2- B,S",3.5
118,2586,"Maya Mountain, batch 39",Animas,75.0,"2- B,S",3.0
119,2586,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",Animas,75.0,"2- B,S",3.25
120,1375,Madagascar,Ara,75.0,"3- B,S,C",3.0
121,1379,Chiapas,Ara,72.0,"3- B,S,C",2.5
122,1379,Equateur,Ara,75.0,"3- B,S,C",2.75
123,1379,Trincheras,Ara,75.0,"3- B,S,C",3.0
124,1534,Fazenda Camboa,Arete,70.0,"2- B,S",3.5
125,1534,Nacional,Arete,68.0,"2- B,S",3.5
126,1534,"Puerto Quito, heirloom",Arete,70.0,"2- B,S",3.75
127,1598,Oko Caribe,Arete,70.0,"2- B,S",3.5
128,1598,Maya Mountain,Arete,70.0,"2- B,S",3.75
129,1598,Chuno,Arete,70.0,"2- B,S",4.0
130,1602,Fazenda Camboa,Arete,75.0,"2- B,S",2.75
131,1602,Guatemala,Arete,70.0,"2- B,S",3.25
132,1602,Camino Verde,Arete,75.0,"3- B,S,C",3.5
133,1724,San Juan,Arete,70.0,"2- B,S",3.5
134,1724,Kokoa Kamili,Arete,70.0,"2- B,S",3.75
135,1900,Tien Giang,Arete,73.0,"3- B,S,C",3.5
136,1904,Hacienda Victoria,Arete,70.0,"3- B,S,C",3.25
137,1904,Costa Esmeraldas,Arete,70.0,"3- B,S,C",3.25
138,1904,Lachua,Arete,70.0,"2- B,S",3.5
139,1904,Rugoso,Arete,70.0,"3- B,S,C",3.75
140,1908,"La Masica, FHIA",Arete,70.0,"2- B,S",3.5
141,1908,"Coto Brus, Terciopelo",Arete,70.0,"2- B,S",4.0
142,1924,Phantom,Arete,70.0,"2- B,S",4.0
143,1928,Matasawalevu,Arete,70.0,"2- B,S",3.25
144,1928,Lam Dong,Arete,73.0,"2- B,S",3.25
145,1928,Elvesia,Arete,70.0,"2- B,S",3.75
146,2020,Anamalai,Arete,70.0,"2- B,S",3.5
147,2020,Sambirano Valley,Arete,70.0,"3- B,S,C",3.5
148,2020,Ben Tre,Arete,73.0,"3- B,S,C",3.5
149,2024,Beniano,Arete,70.0,"2- B,S",4.0
150,2028,Ucayali,Arete,70.0,"3- B,S,C",3.5
