,rating,ingredients,company_location
0,3.25,"3- B,S,C",U.S.A.
1,3.75,"3- B,S,C",U.S.A.
2,3.5,"3- B,S,C",U.S.A.
3,3.0,"3- B,S,C",U.S.A.
7,3.5,"4- B,S,C,L",France
8,3.75,"4- B,S,C,L",France
9,2.75,"4- B,S,C,L",France
10,3.0,"4- B,S,C,L",France
11,3.25,"4- B,S,C,L",France
16,4.0,"4- B,S,C,L",France
19,4.0,"3- B,S,C",France
33,3.75,"3- B,S,C",France
34,3.5,"3- B,S,C",France
36,3.75,"2- B,S",U.S.A.
38,3.25,"2- B,S",U.S.A.
39,3.5,"2- B,S",U.S.A.
40,2.75,"3- B,S,C",Fiji
41,3.25,"3- B,S,C",Fiji
42,3.5,"3- B,S,C",Fiji
44,2.5,"2- B,S",Vanuatu
45,2.75,"2- B,S",Vanuatu
46,3.0,"2- B,S",Vanuatu
48,2.75,"4- B,S,C,V",Ecuador
49,3.0,"4- B,S,C,V",Ecuador
50,3.0,"3- B,S,C",Mexico
51,2.75,"4- B,S,C,L",U.K.
53,3.75,"4- B,S,C,L",U.K.
54,2.5,"5- B,S,C,V,L",France
56,2.75,"6- B,S,C,V,L,Sa",France
57,2.75,"5- B,S,C,V,Sa",France
58,3.0,"5- B,S,C,V,Sa",France
59,3.5,"6- B,S,C,V,L,Sa",France
60,3.5,"3- B,S,C",Netherlands
64,2.5,"4- B,S,C,L",U.S.A.
65,3.0,"4- B,S,C,L",U.S.A.
66,3.25,"4- B,S,C,L",U.S.A.
69,2.75,"3- B,S,C",U.S.A.
71,2.5,"3- B,S,C",U.S.A.
75,3.5,"4- B,S,C,V",U.S.A.
76,3.0,"4- B,S,C,V",U.S.A.
77,3.75,"4- B,S,C,V",U.S.A.
78,2.75,"4- B,S,C,V",U.S.A.
81,4.0,"4- B,S,C,V",U.S.A.
84,3.0,"2- B,S",Spain
85,2.75,"2- B,S",Spain
88,3.0,"3- B,S,C",Russia
89,3.5,"3- B,S,C",Russia
90,3.25,"3- B,S,C",Peru
91,3.5,"3- B,S,C",Peru
92,3.0,"4- B,S,C,L",Canada
93,3.25,"2- B,S",Canada
97,3.5,"2- B,S",Canada
98,3.75,"4- B,S,C,V",Italy
99,3.0,"4- B,S,C,V",Italy
101,3.5,"4- B,S,C,V",Italy
110,2.75,"3- B,S,C",Italy
111,2.75,"4- B,S,C,L",Brazil
112,3.75,"4- B,S,C,L",Brazil
114,4.0,"4- B,S,C,L",Brazil
115,3.25,"4- B,S,C,L",Brazil
116,3.0,"2- B,S",U.S.A.
120,3.0,"3- B,S,C",France
121,2.5,"3- B,S,C",France
122,2.75,"3- B,S,C",France
129,4.0,"2- B,S",U.S.A.
130,2.75,"2- B,S",U.S.A.
156,3.25,"2- B,S",Nicaragua
157,3.5,"2- B,S",Nicaragua
159,3.0,"2- B,S",Nicaragua
160,3.75,"3- B,S,C",U.K.
161,2.5,"3- B,S,C",U.K.
162,2.75,"3- B,S,C",U.K.
163,1.75,"3- B,S,C",U.K.
164,3.0,"3- B,S,C",U.K.
166,3.25,"3- B,S,C",U.K.
171,3.5,"3- B,S,C",U.K.
172,4.0,"3- B,S,C",U.K.
177,3.25,"4- B,S,C,L",Italy
179,3.5,"4- B,S,C,L",Italy
180,2.5,"2- B,S",U.S.A.
186,3.0,"4- B,S,C,L",Australia
187,2.75,"4- B,S,V,L",Philippines
188,3.0,"3- B,S,C",Philippines
190,3.5,"3- B,S,C",Philippines
191,2.5,"2- B,S",Canada
192,3.0,"2- B,S",Canada
193,3.0,"2- B,S",Australia
194,2.5,"2- B,S",Australia
196,3.25,"2- B,S",Australia
197,3.5,"2- B,S",Australia
198,3.0,"2- B,S",Brazil
199,2.75,"3- B,S,C",Peru
211,2.75,"4- B,S,C,V",Wales
216,2.25,"4- B,S,C,V",U.K.
223,2.75,"4- B,S,C,L",Belgium
226,3.5,"4- B,S,C,L",Belgium
230,3.25,"3- B,S,C",Vietnam
231,3.75,"3- B,S,C",Vietnam
232,2.75,"3- B,S,C",Germany
233,3.0,"3- B,S,C",Germany
234,3.5,"3- B,S,C",Germany
235,3.0,"4- B,S,C,L",Singapore
238,4.0,"3- B,S,C",Belgium
239,3.75,"3- B,S,C",Belgium
240,3.5,"3- B,S,C",Belgium
245,3.0,"4- B,S,C,L",Belgium
246,2.75,"5- B,S,C,V,L",France
247,3.25,"3- B,S,C",Switzerland
249,3.5,"3- B,S,C",Switzerland
251,3.0,"3- B,S,C",Switzerland
254,4.0,"3- B,S,C",Switzerland
257,2.5,"4- B,S,C,V",U.S.A.
258,3.25,"4- B,S,C,V",U.S.A.
259,3.5,"4- B,S,C,L",Venezuela
260,3.0,"4- B,S,C,L",Venezuela
283,3.75,"4- B,S,C,L",U.S.A.
287,2.75,"4- B,S,C,V",Spain
288,3.5,"4- B,S,C,V",Spain
296,2.5,"2- B,S",Malaysia
297,2.75,"2- B,S",Malaysia
298,3.25,"2- B,S",Malaysia
303,1.5,"3- B,S,C",France
319,3.25,"3- B,S,C",France
329,3.25,"2- B,S",Ecuador
330,1.5,"3- B,S,C",Ecuador
333,4.0,"3- B,S,C",U.S.A.
337,3.0,"5- B,S,C,V,L",U.S.A.
338,3.25,"5- B,S,C,V,L",U.S.A.
339,3.5,"5- B,S,C,V,L",U.S.A.
355,3.0,"3- B,S,C",Australia
356,3.5,"3- B,S,C",Australia
358,2.75,"3- B,S,C",Australia
359,3.25,"2- B,S",Russia
368,3.0,"2- B,S",South Korea
369,3.25,"2- B,S*",Taiwan
370,3.5,"2- B,S*",Taiwan
371,3.5,"4- B,S,C,L",Canada
372,3.75,"4- B,S,C,L",Canada
374,2.5,"2- B,S",Puerto Rico
377,2.25,"2- B,S",U.S.A.
379,2.0,"5- B,S,C,V,L",France
380,3.0,"5- B,S,C,V,L",France
383,3.5,"5- B,S,C,V,L",France
384,2.5,"2- B,S",Switzerland
385,3.75,"2- B,S",Switzerland
386,3.0,"2- B,S",Switzerland
387,2.5,"2- B,S",Venezuela
388,3.25,"2- B,S",Venezuela
389,3.5,"2- B,S",Venezuela
390,3.75,"2- B,S",Venezuela
394,2.75,"2- B,S",Venezuela
396,3.0,"2- B,S",Venezuela
398,3.5,"4- B,S,C,L",Colombia
400,2.75,"4- B,S,C,L",Colombia
401,3.25,"4- B,S,C,L",Colombia
402,3.75,"3- B,S,C",Colombia
405,3.5,"4- B,S,C,L",U.S.A.
410,4.0,"4- B,S,C,L",Spain
412,3.5,"4- B,S,C,L",Spain
413,3.75,"4- B,S,C,L",Spain
415,3.25,"4- B,S,C,L",Spain
422,3.0,"2- B,S",Japan
423,3.25,"2- B,S",Japan
424,3.5,"2- B,S",Japan
425,3.0,"3- B,S,C",South Korea
426,3.25,"3- B,S,C",South Korea
427,3.5,"3- B,S,C",South Korea
428,3.5,"2- B,S",Peru
429,4.0,"2- B,S",Peru
432,3.5,"4- B,S,C,L",Ecuador
434,2.5,"4- B,S,C,L",Ecuador
435,1.5,"4- B,S,C,L",Ecuador
436,1.0,"3- B,S,C",Belgium
437,2.75,"3- B,S,C",Belgium
438,2.25,"2- B,S",Italy
439,2.5,"2- B,S",Italy
440,3.0,"2- B,S",Italy
441,3.5,1- B,Italy
444,3.5,"2- B,S",Italy
