,review_date,rating,ingredients,characteristics
0,2019,3.25,"3- B,S,C","rich cocoa, fatty, bready"
1,2019,3.75,"3- B,S,C","cocoa, blackberry, full body"
2,2019,3.5,"3- B,S,C","cocoa, vegetal, savory"
3,2021,3.0,"3- B,S,C","chewy, off, rubbery"
4,2021,3.5,"3- B,S,C","milk brownie, macadamia,chewy"
5,2021,3.0,"3- B,S,C","fatty, earthy, moss, nutty,chalky"
6,2021,3.25,"3- B,S,C","mildly bitter, basic cocoa, fatty"
7,2012,3.5,"4- B,S,C,L","vegetal, nutty"
8,2012,3.75,"4- B,S,C,L","fruity, melon, roasty"
9,2013,2.75,"4- B,S,C,L","brief fruit note, earthy, nutty"
10,2013,3.0,"4- B,S,C,L","sticky, red fruit, sour"
11,2013,3.25,"4- B,S,C,L",mild tobacco
12,2013,3.75,"4- B,S,C,L","sandy, nutty, cocoa, fig"
13,2013,2.75,"4- B,S,C,L","burnt rubber,alkalyzed notes"
14,2013,3.0,"4- B,S,C,L","sticky, smokey, grass"
15,2013,3.25,"4- B,S,C,L","mild fruit, strong smoke"
16,2013,4.0,"4- B,S,C,L","oily, nut, caramel, raspberry"
17,2013,3.25,"4- B,S,C,L","green, nutty, cocoa"
18,2013,3.5,"4- B,S,C,L","cocoa,sour,intense tangerine"
19,2013,4.0,"3- B,S,C","sweet, cocoa, tangerine"
20,2014,2.75,"4- B,S,C,L","harsh, leather, earthy"
21,2014,3.5,"4- B,S,C,L","sliglty dry, papaya"
22,2014,3.5,"4- B,S,C,L","nutty, mild choco, roasty"
23,2014,3.75,"4- B,S,C,L","astringent, nutty, chocolatey"
24,2014,4.0,"4- B,S,C,L","delicate, hazelnut, brownie"
25,2015,2.75,"4- B,S,C,L","burnt wood, earthy, choco"
26,2015,3.0,"4- B,S,C,L","roasty, acidic, nutty"
27,2015,3.5,"4- B,S,C,L","mild profile, chocolaty, spice"
28,2015,3.5,"4- B,S,C,L","grainy texture, cocoa, sweet"
29,2016,3.75,"4- B,S,C,L","sweet, chocolatey, vegetal"
30,2018,3.5,"4- B,S,C,L","alluring aroma, powdery,nutty"
31,2018,3.75,"4- B,S,C,L","sweet, dairy, spice, cocoa"
32,2021,4.0,"4- B,S,C,L","light color, fruit, yogurt"
33,2022,3.75,"3- B,S,C","smoke dominates, hint of fruit"
34,2022,3.5,"3- B,S,C","green banana, roasty, cocoa"
35,2022,2.75,"4- B,S,C,L","woody, honey, leathery"
36,2015,3.75,"2- B,S",yellow fruit
37,2015,3.75,"2- B,S","intense, nutty, cherry, cocoa"
38,2020,3.25,"2- B,S","herbal, molasses, hammy"
39,2020,3.5,"2- B,S","hot cocoa, rich, molasses"
40,2011,2.75,"3- B,S,C","sweet, sublte strawberry"
41,2011,3.25,"3- B,S,C",spicy and candy-like
42,2011,3.5,"3- B,S,C","orange, floral, lemon"
43,2011,3.5,"3- B,S,C",cocoa and powerful tang
44,2019,2.5,"2- B,S","unrefined, sweet, metallic"
45,2019,2.75,"2- B,S","basic, sweet, cocoa, woody"
46,2019,3.0,"2- B,S","sandy, woody, spicy, sweet"
47,2019,2.75,"2- B,S","sweet, cocoa, rubbery"
48,2009,2.75,"4- B,S,C,V","sandy, sweet, banana cream"
49,2009,3.0,"4- B,S,C,V","roasty, nutty, coffee"
50,2009,3.0,"3- B,S,C","gritty, spice, cocoa"
51,2010,2.75,"4- B,S,C,L","strong pepper, musty"
52,2010,2.75,"4- B,S,C,L","fatty, intense, woody"
53,2011,3.75,"4- B,S,C,L","hay, nut, berry"
54,2013,2.5,"5- B,S,C,V,L","sandy, dirt, ashey"
55,2013,2.5,"5- B,S,C,V,L","cardboard, dirt, roasty"
56,2014,2.75,"6- B,S,C,V,L,Sa","roasty, sweet, savory"
57,2014,2.75,"5- B,S,C,V,Sa","nutty, roasty, odd dairy"
58,2014,3.0,"5- B,S,C,V,Sa","citrus, fatty, dairy"
59,2017,3.5,"6- B,S,C,V,L,Sa","strawberry, cream, gateway"
60,2017,3.5,"3- B,S,C","sandy, green, floral"
61,2017,3.5,"3- B,S,C","sandy, sweet, nibby"
62,2017,3.5,"3- B,S,C","sandy, melon, banana"
63,2017,3.5,"3- B,S,C","sandy, sweet, roasty"
64,2013,2.5,"4- B,S,C,L","sweet, moldy, off"
65,2013,3.0,"4- B,S,C,L","sandy, sweet, dairy, spice"
66,2013,3.25,"4- B,S,C,L","gritty, berry, mild bitter"
67,2013,3.0,"4- B,S,C,L","grit, sweet, caramel, fruit"
68,2013,3.25,"4- B,S,C,L","gritty, too sweet, fruit"
